id_produk,tanggal_produksi,id_produksi,jumlah_produksi
P001,7/14/2023,PRD0001,315
P002,7/15/2023,PRD0002,391
P003,7/16/2023,PRD0003,423
P004,7/17/2023,PRD0004,431
P005,7/18/2023,PRD0005,286
P006,7/19/2023,PRD0006,423
P007,7/20/2023,PRD0007,487
P008,7/21/2023,PRD0008,169
P009,7/22/2023,PRD0009,126
P010,7/23/2023,PRD0010,405
P011,7/24/2023,PRD0011,315
P012,7/25/2023,PRD0012,291
P013,7/26/2023,PRD0013,448
P014,7/27/2023,PRD0014,455
P015,7/28/2023,PRD0015,385
P016,7/29/2023,PRD0016,126
P017,7/30/2023,PRD0017,297
P018,7/31/2023,PRD0018,373
P019,8/1/2023,PRD0019,140
P020,8/2/2023,PRD0020,159
